Progress,Duration__in_seconds_,Q3,Q4,Q7,Q8,Q6,Q486,Q487,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q190,Q191,Q192,Q193,Q194,Q196,Q197,Q198,Q200,Q201,Q202,Q203,Q204,Q206,Q207,Q208,Q209,Q210,Q211,Q213,Q214,Q215,Q216,Q217,Q218,Q146,Q147,Q148,Q149,Q150,Q151,Q152,Q153,Q154,Q155,Q156,Q157,Q159,Q160,Q161,Q163,Q164,Q165,Q166,Q167,Q169,Q170,Q171,Q172,Q173,Q174,Q176,Q177,Q178,Q179,Q180,Q181,Q220,Q221,Q222,Q223,Q224,Q225,Q226,Q227,Q228,Q229,Q230,Q231,Q233,Q234,Q235,Q237,Q238,Q239,Q240,Q241,Q243,Q244,Q245,Q246,Q247,Q248,Q250,Q251,Q252,Q253,Q254,Q255,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q24,Q25,Q26,Q28,Q29,Q30,Q31,Q32,Q34,Q35,Q36,Q37,Q38,Q39,Q41,Q42,Q43,Q44,Q45,Q56,Q485,Q47_1,Q47_2,Q47_3,Q47_4,Q47_5,Q47_6,Q47_7,Q47_8,Q47_9,Q47_10,Q47_11,Q47_12,highest_experience,Q484_1,Q484_2,Q484_3,Q484_4,Q484_5,Q484_6,stigma_total,Q484_7,Q484_8,Q488,Q489,Q490,Q491,random_profile
100,4659,1,1,2,1,19,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,8,7,8,9,9,8,9,9,7,6,9,6,7,6,9,10,7,7,9,7,9,8,7,9,3,3,20,3,3, ,1,1, ,1, , , , , , , ,1, , ,3,3,3,4,4,2, ,2,1,"Communication, portraying feelings",Not sure,The level of autism and the care they would need,Not sure,4
100,749,1,1,2,1,19,1,4,9,9,7,6,7,9,9,7,8,9,7,8,8,8,7,7,9,8,6,6,9,7,9,9,7,8,4,4,21,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, ,1, , , , , , , , , , ,4,4,4,4,4,4, ,3,1,"Theres different levels of autism so it would depend, but I suppose it would be challenging to be constantly patient and to have to learn and educate myself on autism more deeply to ensure I would be a good partner. There would also likely be a stronger sense of guilt and worry if I decided to end the relationship",They are supposedly more honest and straightforward,"Making a life commitment is a challenge with any partner but in addition to that, that my husband be a strong part of my family and get along with all my cousins is essential and that will likely be more challenging. I don't know how accepting my family would be and I wouldn't want that for me, him, or the family.",I can't see any at this time,1
100,817,1,1,2,4,20,1,5,9,9,7,7,7,9,10,7,8,9,7,7,7,7,9,8,9,9,7,7,9,7,9,10,7,8,2,2,19,4,1,"The picture is extremely zoomed in, which is slightly unsettling", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, ,1, , , , , , , ,1, , ,4,2,3,3,3,2, ,2,1,"Lack of clear communication, needs not met or understood","Interesting conversation, good attention to detail.","Autism is heritable, so greater chance my children would also have it, whereas the chance would be lower if the person I married would not have autism.","Greater routine, more comfortable living",1
100,753,1,1,2,1,20,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,9,9,7,9,9,7,7,7,8,7,7,6,9,8,7,9,9,7,8,9,8,8,8,8,9,3,1,18,1,1, ,1,1, ,1, , ,1, ,1,1, , , , ,4,4,4,4,4,2, ,2,1,Understanding how they feel about certain topics and view things,"From my experience with autistic people, they tend to be much more driven than many non-autistic people which is a great quality",May find certain topics more challenging to discuss than if it were with a non-autistic person such as children,May be more attentive,4
100,1069,1,1,2,1,19,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,7,9,8,8,9,8,7,8,8,6,6,6,9,10,7,9,8,7,8,9,7,10,10,6,9,1,2,18,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, ,1, , ,1, , , , , , , ,3,4,4,4,3,1, ,3,2,"Communication, affection and connection",More attentive and focused thus at times more caring and prepared,Raising children and affection,?,3
100,521,1,1,2,1,19,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,7,8,6,9,9,7,7,9,6,6,7,9,9,8,9,9,7,9,9,7,10,9,7,10,2,1,18,1,1, ,1,1, ,1,1, , , , , ,1, ,1, ,4,3,4,3,4,3, ,2,1,"Their difficulties in reading emotions, repetitive behaviour",Good thinker,You’d be living with them so same challenges As above,Lyoud be living with them so same benefits as above,4
100,436,1,1,2,1,18,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,10,6,6,7,9,10,6,9,9,6,6,10,6,6,6,9,9,6,7,10,6,9,10,6,10,5,5,21,5,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, ,1, , ,1, , ,1, , , , ,4,4,2,3,4,2, ,3,2,Communication would be hindered which is essential in a healthy relationship,They are more attentive and are usually very interesting,Having children and educating them could be difficult,They would do their best to make things work,2
100,651,1,1,2,1,18,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,8,9,9,7,9,7,8,8,9,7,7,8,8,8,7,9,9,7,7,9,7,9,9,7,9,2,2,19,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1, , ,1, , , , ,1, , ,3,3,3,3,3,3, ,2,1,Communication,Honesty,Communication,Honesty,2
100,339,1,1,2,1,19,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,7,9,9,9,7,8,8,7,8,8,7,6,9,7,8,8,8,8,8,9,8,9,9,7,7,1,2,19,3,2, ,3,1, ,1,1,1,1, , , , ,1, , ,4,4,4,4,4,4, ,2,2,A different level of communication needed,Equals,No difference,No difference,4
100,407,1,1,2,1, ,3,4,9,9,8,6,8,9,10,7,9,10,6,7,7,9,8,6,9,9,7,7,10,7,9,8,7,9,3,2,19,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, ,1,1, ,1, , ,1, ,1, , ,4,4,2,4,4,3, ,3,2,Introducing them to social circles and family,Same benefits as anyone,May be hard to compromise on big decisions,More honesty,1
100,388,1,1,2,4,20,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,10,7,6,7,10,10,7,9,9,7,6,8,8,8,7,9,9,6,6,10,7,10,10,6,9,4,5,21,5,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1, , , , , , , , , , ,4,4,4,4,4,4, ,2,1, ,"keen to get things done a certain way, knowing they have a routine so would be reliable",wouldn’t necessarily understand everything they thought and vice versa,"Routine, reliability and dependability",2
100,728,1,1,2,1,19,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,7,8,9,10,7,9,9,6,7,9,8,6,9,9,7,9,9,7,8,9,9,7,8,8,10,1,1,18,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,1, , , , , , ,1,1, , ,3,3,3,3,3,2, ,3,3,"Meeting your friends or family, general difficulty in social situations",Honesty,"Lack of empathy, finding it difficult to talk about how they’re feeling",Honesty,2
100,953,1,1,2,4,20,1,5,10,10,6,6,6,10,10,6,10,10,6,8,9,6,6,8,10,10,6,8,10,7,10,9,6,9,4,5,21,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, ,1, , ,1, , , , , , , ,4,4,4,4,4,3, ,2,1,"I would provably find it challenging to understand them in a deeper sense, which might make communication difficult. However, every autistic person I’ve met so far in my life has had a different relationship with socialising/communication and it would be completely different in different cases.","In my experience, the autistic people I’ve met have a super original way of looking at the world, and are often very creative and caring. Their way of thinking and talking means I’d likely never be bored in conversation which is huge for me",Maybe legal challenges? I don’t know exactly what the legislation is like around that to be honest,I’m not sure I can think of any beyond the fact an autistic person would constantly challenge me to rethink my opinions and views in the best way possible,1
100,329,1,1,2,1,19,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,6,6,9,8,6,9,9,6,8,9,6,6,7,9,9,6,7,9,7,9,9,6,10,4,4,21,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1, , , , , , , , , , ,4,4,4,4,4,3, ,1,1,Public spaces,Attention to detail,Communication,Honesty,2
100,622,1,1,2,1,20,1,4,9,9,8,7,9,9,10,6,9,9,7,7,8,7,7,9,9,9,8,8,8,8,7,9,7,8,3,3,20,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, ,1,1, ,1, ,1,1, , ,1, ,3,3,2,3,3,2, ,1,1,"Understanding why they do some things and explaining life to them, arguments which are difficult to resolve, difficult with feelings","More trustworthy, watching them thrive when you look after them",Same as relationship & family being accepting potentially,Same as relationship,1
100,345,1,1,2,1,20,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,8,7,8,9,9,7,9,9,7,7,8,7,8,6,9,8,7,7,9,7,9,9,7,8,4,4,20,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , ,1, ,1, , , , ,1, , ,3,3,3,4,3,3, ,2,1,Communication,Unique way of thinking,Communication,Personality,2
100,470,1,1,2,1,19,1,4,10,10,7,7,7,10,10,7,9,10,6,6,8,7,8,6,10,10,6,7,10,6,10,10,6,10,3,4,20,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, ,1, , , , , , , , , , ,4,3,3,3,4,3, ,2,1,Providing them with greater emotional support/help,I would see an autistic person as being more trustworthy,Could be financially challenging,Equally beneficial,1
100,310,1,1,2,1,20,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,7,10,7,8,7,6,9,7,6,7,9,9,7,7,8,8,8,8,8,10,7,9,9,9,8,1,1,18,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, ,1,1, ,1, , , , ,1, , ,4,3,2,4,3,3, ,3,2,"Judgment of social cues, unusual behaviours",Honesty, , ,3
100,474,1,1,2,4,19,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,10,7,7,9,9,7,7,9,9,7,6,9,6,8,7,8,9,7,9,10,6,10,9,7,10,2,4,20,4,2, ,1,1, ,1, , ,1, , , ,1, , , ,4,4,2,4,4,3, ,1,1,Socialising,Honesty,They may get worn out from always being with me,"Honest, loyalty",4
100,466,1,1,2,4,19,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,8,9,10,10,7,6,9,6,7,8,7,6,9,7,7,8,9,8,9,9,7,9,9,6,9,1,1,18,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, ,1, , , , , , , , , , ,4,4,3,4,4,3, ,2,1,Social interactions,"Intelligence, analytical mind",Emotional disconnect, ,3
100,584,1,1,2,1,20,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,8,6,6,9,8,6,9,9,6,6,8,8,7,6,9,9,6,7,10,6,8,9,6,9,3,2,19,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,1, ,1, , , , ,1, , ,4,4,4,4,4,3, ,2,2,Since autism tends to be a spectrum it may be difficult in extreme cases due to fear of touch or certain sounds or experiences.  But otherwise I don’t think it would be a big deal,They would most likely be honest and straight forward,Difficulties in communicating maybe??,Honesty??,2
100,387,1,1,2,1,20,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,9,8,9,8,7,8,7,7,8,7,9,7,7,9,9,9,7,9,9,7,8,9,7,7,2,2,19,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, ,1, , ,1, , , , , , , ,4,3,3,3,3,2, ,3,1, , , , ,3
100,627,1,1,2,1,22,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,7,10,9,8,9,8,9,7,7,8,7,7,8,8,6,8,8,6,6,10,7,9,10,8,9,2,2,18,1,1,I would find it very difficult to have a romantic relationship with someone who is not as tall as me.,1,1,1,1,1, ,1, ,1, , ,1, , ,4,3,3,4,3,3, ,2,2,"Autistic people can be very set in their ways, they can have routines and expectations that if you do not meet can be stressful for them.","Autistic people are lovely and if you click with them there is no reason why you shouldn’t date them. The autistic people I have worked with have been lovely and although they’ve had challenges, we all have different views and norms.","If you are in love with an autistic person and feel you want to spend the rest of your life with then, I don’t see their autism being much of an issue.",You are in love with them and they will make you happy.,4
100,583,1,1,2,1,20,1,4,9,8,8,7,8,8,10,7,8,10,6,6,7,7,8,6,9,9,6,8,9,7,10,9,8,9,2,2,18,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, ,1, , , , , ,1, ,1, , ,3,4,3,4,3,2, ,1,1,Not being able to understand how they feel and not being able to meet their needs in a relationship.,They would be honest and tell you what they really think. They would have good intellectual conversation.,The same as dating but I think also communication and intimacy would be an issue. They would also find it hard to comprehend my emotions.,Very loyal and dependable. They like order and plans.,1
100,403,1,1,2,1,21,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,8,7,9,9,8,9,7,9,7,7,6,8,9,7,8,9,7,8,9,7,9,10,7,9,1,1,18,1,1, ,1,1, ,1, , , , , , , ,1, , ,3,3,3,3,3,2, ,2,2,They don’t have as good an understand of emotions which could be difficult,They are genuine and honest,They struggle with some social situations and you’d have to consider everything from their point of view,You know they are honest,4
100,8523,1,1,2,1,19,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,10,10,7,7,7,7,7,9,9,7,6,7,9,7,9,7,6,7,7,6,7,9,9,2,2,18,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1, , ,1, , ,1,1,1, , ,3,3,3,4,4,2, ,1,1,Communication would be hard,They’re kind and would try and do everything to make you feel good,Long term communication and getting used to habits they may have,"Insight, they would be nicer",2
100,538,1,1,2,1,19,1,4,8,7,10,9,10,8,7,7,7,8,7,6,8,9,8,8,7,7,8,8,9,7,8,8,7,9,2,1,18,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, ,1,1, ,1, , , , , , , ,3,3,2,4,3,1, ,3,3,"It would be harder to understand their feelings / where they are coming from. I also think I would try and hurt them less, play less games but that wouldn’t be treating them equally so I’d feel bad about it.","When in the right mindset, they could probably provide you with more emotional support.","Again, harder to explain myself/ understand their point of view in anything. I probably think I would have to look after kids (if we had any) as well as my autistic husband.",No benefits that you couldn’t get from a non autistic person.,1
100,105,1,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
100,1034,1,1,2,4,19,1,5,9,9,7,7,7,8,8,7,8,9,8,7,9,7,7,7,9,9,7,8,9,7,10,9,7,9,3,2,19,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1, , ,1, , , , , , , ,4,4,3,4,4,3, ,2,1,Getting to know them properly,Honesty,Affection? not sure,Accountability,1
100,1006,1,1,2,1,19,1,4,9,9,8,8,8,8,9,7,9,8,8,8,7,9,9,8,9,8,8,8,9,8,9,8,8,8,3,2,20,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, ,1, , ,1, ,1, ,1,1,1, ,4,3,2,3,3,2, ,2,2,communication,reliable,communication,reliable,1
100,556,1,1,2,1,20,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,8,9,8,7,8,7,7,7,8,9,7,7,7,9,8,7,9,9,7,9,9,7,8,1,2,19,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, ,1, , , , , , , ,1, , ,4,3,3,4,4,2, ,2,1,The emotional barriers that you might face,Their personality may be better or you may be treated better,Judgements from family maybe,It could possibly provide you with a differnet view on life or better overall experience,3
100,301,1,1,2,1,19,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,7,7,8,9,8,7,8,8,7,7,7,8,9,7,9,8,7,8,8,8,9,9,7,9,2,2,19,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,1, , , , , , ,1, , ,3,3,3,4,3,3, ,2,1,Humour in conversation, , , ,2
100,336,1,1,2,1,20,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,6,7,8,8,8,6,9,7,6,7,8,9,9,8,8,8,8,10,7,9,9,7,9,1,1,18,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, ,1, , , , , ,1,1, , , ,4,4,3,4,2,1, ,4,1, ,Good at maths and paying bills,"Would not notice your feelings or facial expressions very well, couldn’t interact well in social gatherings.",Paying bills?,3
100,247,1,1,2,1,20,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,22,5,5,IGNORE - PS20125 TEST, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , , , , , , , , , ,4,4,4,4,4,4, ,4,4,IGNORE - PS20125 TEST,IGNORE - PS20125 TEST,IGNORE - PS20125 TEST,IGNORE - PS20125 TEST,2
